utc,pid,rss_bytes,process_hwm_bytes,host_available_bytes,gpu_gpc_cur_hz,gpu_gpc_min_hz,gpu_gpc_max_hz
2026-09-13T06:53:18.277433+00:00,2437930,11022016512,16543862784,117568520192,1575000000,1575000000,1575000000
2026-09-13T06:53:28.278109+00:00,2437930,11065008128,16543862784,117547126784,1575000000,1575000000,1575000000
2026-09-13T06:53:38.278754+00:00,2437930,11116126208,16543862784,117541089280,1575000000,1575000000,1575000000
2026-09-13T06:53:48.279416+00:00,2437930,11169865728,16543862784,117512491008,1575000000,1575000000,1575000000
2026-09-13T06:53:58.280592+00:00,2437930,11216527360,16543862784,117497769984,1575000000,1575000000,1575000000
2026-09-13T06:54:08.281259+00:00,2437930,11253227520,16543862784,117483442176,1575000000,1575000000,1575000000
2026-09-13T06:54:18.281915+00:00,2437930,11292549120,16543862784,116911554560,1575000000,1575000000,1575000000
2026-09-13T06:54:28.282566+00:00,2437930,11330691072,16543862784,116269764608,1575000000,1575000000,1575000000
2026-09-13T06:54:38.285415+00:00,2437930,11352711168,16543862784,108893880320,1575000000,1575000000,1575000000
2026-09-13T06:54:48.286100+00:00,2437930,11380236288,16543862784,112858353664,1575000000,1575000000,1575000000
2026-09-13T06:54:58.286759+00:00,2437930,11411431424,16543862784,111677546496,1575000000,1575000000,1575000000
2026-09-13T06:55:08.287452+00:00,2437930,11448393728,16543862784,43947548672,1575000000,1575000000,1575000000
2026-09-13T06:55:18.288101+00:00,2437930,11474083840,16543862784,43996299264,1575000000,1575000000,1575000000
2026-09-13T06:55:28.288787+00:00,2437930,11507113984,16543862784,43890757632,1575000000,1575000000,1575000000
2026-09-13T06:55:38.289485+00:00,2437930,11536474112,16543862784,116890198016,1575000000,1575000000,1575000000
2026-09-13T06:55:48.290181+00:00,2437930,11573174272,16543862784,116190490624,1575000000,1575000000,1575000000
2026-09-13T06:55:58.290881+00:00,2437930,11608563712,16543862784,115246657536,1575000000,1575000000,1575000000
2026-09-13T06:56:08.291616+00:00,2437930,11646312448,16543862784,113053323264,1575000000,1575000000,1575000000
2026-09-13T06:56:18.293569+00:00,2437930,11694809088,16543862784,112076554240,1575000000,1575000000,1575000000
2026-09-13T06:56:28.294224+00:00,2437930,11721023488,16543862784,41948831744,1575000000,1575000000,1575000000
2026-09-13T06:56:38.294872+00:00,2437930,11738324992,16543862784,41929052160,1575000000,1575000000,1575000000
