id,label,calls,shape,logical_tensor_flops,scalar_flops_estimate,formula,tensor_io_once_bytes,weight_bytes,special_ops,estimate_note,logical_flops_per_call,logical_gflop_per_call,ncu_bf16_gflop_per_call,ncu_fp32_gflop_per_call,mean_ncu_us,total_ncu_ms,time_percent,logical_tensor_tflops,ncu_tensor_tflops,ncu_scalar_tflops,tensor_counter_over_logical,ncu_l2_bytes_per_call,ncu_l2_gbps,ncu_tensor_ai_l2,logical_tensor_ai_io_once,io_once_equivalent_gbps,io_once_time_at_273gbps_us,l2_bytes_over_io_once,dram_crossover_tensor_tflops,operator
22,Vision: NCHW → NHWC (weights),3,"[1152,3,14,14]",0,0,0 (layout copy),2709504,0,,NCU counts one FP32 operation/element in the cuDNN conversion kernel; no useful arithmetic is required by layout conversion,0,0.0,0.0,0.000677376,104.43733333333333,0.313312,0.369728694435906,0.0,0.0,0.006485956490654683,,7712778.666666667,73.85078132979267,0.0,0.0,25.94382596261873,9.924923076923076,2.8465647833207357,0.0,"Vision: NCHW → NHWC (weights) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(7, 1, 1152) block=(256, 1, 1)"
23,Vision: NHWC → NCHW,3,"[1,1152,16,16]",0,0,0 (layout copy),1179648,0,,NCU counts one FP32 operation/element in the cuDNN conversion kernel; no useful arithmetic is required by layout conversion,0,0.0,0.0,0.000294912,18.4,0.0552,0.06513961780226103,0.0,0.0,0.016027826086956524,,1229354.6666666667,66.81275362318841,0.0,0.0,64.11130434782609,4.321054945054946,1.042136863425926,0.0,"Vision: NHWC → NCHW | void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *) | grid=(8, 36, 1) block=(256, 1, 1)"
24,Vision: attention Q/K/V/O projections,324,"[256,1152] @ [1152,1152]",679477248,294912,2*256*1152*1152 tensor; 294912 scalar,3836160,2654208,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,679772160,0.67977216,0.679477248,0.000884736,28.18864197530864,9.13312,10.77768018373526,24.10464642444203,24.10464642444203,0.031386258365158896,1.0,8001079.901234568,283.8405591955433,84.92319241745811,177.12432432432433,136.08885463018115,14.051868131868131,2.0857002578710397,48.35494054054054,"Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)"
25,Vision: image embedding scale,3,"[256,2048] scale",0,524288,S*D mul,2097152,0,,,524288,0.000524288,0.0,0.000524288,16.97066666666667,0.05091200000000001,0.06007949676718687,0.0,0.0,0.03089377749842865,,2141152.0,126.16781898177243,0.0,0.0,123.5751099937146,7.681875457875458,1.0209808349609375,0.0,"Vision: image embedding scale | triton_poi_fused_mul_view_11 | grid=(1024, 1, 1) block=(128, 1, 1)"
26,Vision: image-to-text projection + bias,3,"[256,1152] @ [1152,2048]",1207959552,524288,2*256*1152*2048 tensor; 524288 scalar,6361088,4718592,,FMA=2; logical dimensions; excludes MMA tile padding and compiler epilogue overhead,1208483840,1.20848384,1.207959552,0.001572864,42.64533333333333,0.127936,0.1509728649121389,28.325714857428714,28.325714857428714,0.0368824412206103,1.0,8167946.666666667,191.532016008004,147.89023499990205,189.8982614294913,149.1625812906453,23.300688644688645,1.2840486826572226,51.84222537025113,"Vision: image-to-text projection + bias | nvjet_sm110_tst_512x64_64x2_1x4_h_bz_bias_TNT | grid=(16, 1, 1) block=(256, 1, 1)"
27,Vision: input cast/layout,3,"[1,3,224,224] F32 -> BF16",0,0,0 (cast/layout),903168,0,,,0,0.0,0.0,0.0,12.736000000000002,0.038208000000000006,0.04508794414834765,0.0,0.0,0.0,,967050.6666666666,75.93048576214404,0.0,0.0,70.9145728643216,3.308307692307692,1.0707317649281936,0.0,"Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)"
28,Vision: patch embedding convolution,3,"[1,3,224,224], 1152 filters 14x14, stride14",346816512,0,2*256*1152*(3*14*14),2245632,1354752,,Convolution bias is deferred into the patch/LayerNorm fusion,346816512,0.346816512,3.699376128,0.000884736,101.01333333333334,0.30304,0.3576070612100939,3.433373600844773,36.622651742344246,0.008758606124604013,10.666666666666666,20498965.333333332,202.93326293558607,180.46648051960216,154.4404924760602,22.23104540654699,8.22575824175824,9.128372473020216,42.162254445964436,"Vision: patch embedding convolution | void cutlass__5x_cudnn::Kernel<cutlass_tensorop_bf16_s16816fprop_optimized_bf16_256x64_32x4_nhwc_align8>(T1::Params) | grid=(4, 5, 1) block=(128, 1, 1)"
29,Vision: patch/LayerNorm fusion 1,3,"[256,1152] split into 2304 groups of 128",0,3223296,2*S*V + 9*2304*(128-1),,0,~2304*127 Welford divisions,Approximate source work: bias+position additions and partial Welford moments,3223296,0.003223296,0.0,0.00382464,20.01066666666667,0.060032,0.07084169449103868,0.0,0.0,0.19113006396588486,,1317482.6666666667,65.83901918976545,0.0,,,,,,"Vision: patch/LayerNorm fusion 1 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_1 | grid=(36, 1, 1) block=(256, 1, 1)"
30,Vision: patch/LayerNorm fusion 2,3,256 rows x 9 partial Welford triples,0,18432,9*256*(9-1),,0,~256*8 Welford divisions,Logical merges; padded reduction lanes and replicated lane work excluded,18432,1.8432e-05,0.0,0.000140288,13.824,0.041472,0.048939678070568295,0.0,0.0,0.01014814814814815,,77717.33333333333,5.621913580246913,0.0,,,,,,"Vision: patch/LayerNorm fusion 2 | triton_per_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_2 | grid=(16, 1, 1) block=(128, 1, 1)"
31,Vision: patch/LayerNorm fusion 3,3,"[256,1152] patch/LayerNorm normalize",0,2359296,8*S*V including broadcast variance scaling,,0,up to 294912 rsqrt before hoisting,"Source elementwise count, including recomputation of bias/position additions",2359296,0.002359296,0.0,0.0018432,24.20266666666667,0.072608,0.0856821987207712,0.0,0.0,0.076156897311591,,1877696.0,77.58219479947113,0.0,,,,,,"Vision: patch/LayerNorm fusion 3 | triton_poi_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_3 | grid=(9, 1, 1) block=(1024, 1, 1)"
32,Vision: residual/LayerNorm fusion 10,3,"[256,1152], LayerNorm fusion 10",0,4421888,(2+4)*S*V + 9*S*(V-1) + 2*S,,0,~294656 Welford divisions + 256 rsqrt,"Approximate source arithmetic, logical Welford merges; repeated residual sums included; compiler lowering may differ",4421888,0.004421888,0.0,0.004802169333333333,24.42666666666667,0.07328,0.08647520276358132,0.0,0.0,0.19659536026200872,,1933749.3333333333,79.1655021834061,0.0,,,,,,"Vision: residual/LayerNorm fusion 10 | triton_red_fused_add_native_layer_norm_view_10 | grid=(256, 1, 1) block=(64, 1, 1)"
33,Vision: residual/LayerNorm fusion 4,3,"[256,1152], LayerNorm fusion 4",0,4716800,(3+4)*S*V + 9*S*(V-1) + 2*S,,0,~294656 Welford divisions + 256 rsqrt,"Approximate source arithmetic, logical Welford merges; repeated residual sums included; compiler lowering may differ",4716800,0.0047168,0.0,0.006291456,26.38933333333334,0.07916800000000002,0.09342342866248919,0.0,0.0,0.23840905416329825,,4911648.0,186.12247372675824,0.0,,,,,,"Vision: residual/LayerNorm fusion 4 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4 | grid=(64, 1, 1) block=(256, 1, 1)"
34,Vision: residual/LayerNorm fusion 6,39,"[256,1152], LayerNorm fusion 6",0,4421888,(2+4)*S*V + 9*S*(V-1) + 2*S,,0,~294656 Welford divisions + 256 rsqrt,"Approximate source arithmetic, logical Welford merges; repeated residual sums included; compiler lowering may differ",4421888,0.004421888,0.0,0.005212480205128205,21.85928205128205,0.852512,1.0060200335478473,0.0,0.0,0.23845614841785218,,1924298.6666666667,88.03119252280321,0.0,,,,,,"Vision: residual/LayerNorm fusion 6 | triton_red_fused_add_native_layer_norm_view_6 | grid=(128, 1, 1) block=(128, 1, 1)"
35,Vision: residual/LayerNorm fusion 7,39,"[256,1152], LayerNorm fusion 7",0,5011712,(4+4)*S*V + 9*S*(V-1) + 2*S,,0,~294656 Welford divisions + 256 rsqrt,"Approximate source arithmetic, logical Welford merges; repeated residual sums included; compiler lowering may differ",5011712,0.005011712,0.0,0.005391895282051282,24.24779487179487,0.945664,1.1159454987202424,0.0,0.0,0.22236641767054685,,2556594.0512820515,105.43614645370873,0.0,,,,,,"Vision: residual/LayerNorm fusion 7 | triton_red_fused_add_native_layer_norm_view_7 | grid=(256, 1, 1) block=(64, 1, 1)"
36,Vision: residual/LayerNorm fusion 8,39,"[256,1152], LayerNorm fusion 8",0,5601536,(6+4)*S*V + 9*S*(V-1) + 2*S,,0,~294656 Welford divisions + 256 rsqrt,"Approximate source arithmetic, logical Welford merges; repeated residual sums included; compiler lowering may differ",5601536,0.005601536,0.0,0.006619136,27.204923076923077,1.060992,1.2520400973053722,0.0,0.0,0.2433065508505248,,3201927.3846153845,117.69661599710459,0.0,,,,,,"Vision: residual/LayerNorm fusion 8 | triton_red_fused_add_native_layer_norm_view_8 | grid=(256, 1, 1) block=(64, 1, 1)"
37,Vision: residual/LayerNorm fusion 9,39,"[256,1152], LayerNorm fusion 9",0,5011712,(4+4)*S*V + 9*S*(V-1) + 2*S,,0,~294656 Welford divisions + 256 rsqrt,"Approximate source arithmetic, logical Welford merges; repeated residual sums included; compiler lowering may differ",5011712,0.005011712,0.0,0.021905947076923078,29.453128205128206,1.148672,1.3555082438434565,0.0,0.0,0.7437562123913527,,4276262.564102564,145.18873969244484,0.0,,,,,,"Vision: residual/LayerNorm fusion 9 | triton_red_fused_add_native_layer_norm_view_9 | grid=(256, 1, 1) block=(512, 1, 1)"
