id,stage,family,semantic_label,kernel,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,l2_bytes,ncu_bf16_peak_ops,ncu_dram_peak_bytes,dram_util_pct,tensor_active_pct,sm_util_pct,l2_util_pct,occupancy_pct,issue_active_pct,bf16_counter_peak_pct
597,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11904.000000000002,3997312.0,679477248.0,589824.0,22082240.0,2720139264.0,10231808.0,39.07,49.96,49.96,30.93,8.33,9.25,24.98
598,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11904.000000000002,4003712.0,679477248.0,589824.0,22082816.0,2718054400.0,10223616.0,39.16,50.0,50.0,30.95,8.33,9.36,25.0
599,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,14432.0,2096640.0,402653184.0,4259840.0,12279392.0,3360284672.0,12402688.0,16.9,23.97,23.97,18.04,8.29,11.59,11.98
600,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,6688.0,2683264.0,0.0,2260992.0,3436288.0,1562904576.0,5709824.0,46.99,0.0,11.36,11.84,20.94,14.72,0.0
601,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11968.000000000002,4003840.0,679477248.0,589824.0,22065504.0,2733760512.0,10264576.0,39.01,49.71,49.71,30.78,8.33,9.27,24.86
602,vlm,Norm / residual,Vision: residual / LayerNorm variant 7,triton_red_fused_add_native_layer_norm_view_7,vlm.vision.camera2,5056.0,1971584.0,0.0,14757888.0,3015072.0,1171001344.0,4325376.0,45.58,0.0,24.02,11.67,40.21,33.66,0.0
603,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera2,30656.0,13040896.0,2566914048.0,17487316.0,82829728.0,6968326144.0,26402816.0,49.39,73.67,73.67,45.14,39.18,13.48,36.84
604,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,33728.0,15087744.0,2566914048.0,1179648.0,80224352.0,7771723776.0,29081600.0,51.88,66.06,66.06,39.35,8.33,8.61,33.03
605,vlm,Norm / residual,Vision: residual / LayerNorm variant 8,triton_red_fused_add_native_layer_norm_view_8,vlm.vision.camera2,6496.0,2645376.0,0.0,13467648.0,3674240.0,1514192896.0,5562368.0,47.56,0.0,16.03,12.05,22.65,22.79,0.0
606,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12032.000000000002,4001152.0,679477248.0,589824.0,22085856.0,2752182272.0,10362880.0,38.61,49.38,49.38,30.57,8.33,9.22,24.69
607,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12032.000000000002,4002944.0,679477248.0,589824.0,22083200.0,2751019008.0,10354688.0,38.66,49.4,49.4,30.59,8.33,9.27,24.7
608,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12032.000000000002,4001920.0,679477248.0,589824.0,22063808.0,2752374784.0,10362880.0,38.62,49.37,49.37,30.53,8.33,9.3,24.69
609,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,14368.0,2092032.0,402653184.0,4259840.0,12285952.0,3351666688.0,12386304.0,16.89,24.03,24.03,18.0,8.29,11.71,12.01
610,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,6688.0,2693888.0,0.0,2260992.0,3434336.0,1561964544.0,5742592.0,46.91,0.0,11.37,11.86,20.89,14.46,0.0
611,vlm,O projection,Vision: attention output projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12032.000000000002,4000768.0,679477248.0,589824.0,22062688.0,2753230848.0,10354688.0,38.64,49.36,49.36,30.53,8.33,9.25,24.68
612,vlm,Norm / residual,Vision: residual / LayerNorm variant 9,triton_red_fused_add_native_layer_norm_view_9,vlm.vision.camera2,7488.0,3275648.0,0.0,14704652.0,4735264.0,1738000384.0,6422528.0,51.0,0.0,17.23,13.08,45.38,24.68,0.0
613,vlm,FFN up,Vision: FFN up + bias + GELU,triton_tem_fused_addmm_gelu_native_layer_norm_t_view_5,vlm.vision.camera2,30496.0,13042944.0,2566914048.0,17076934.0,82812768.0,6940073984.0,26312704.0,49.57,73.97,73.97,45.32,39.27,13.44,36.99
614,vlm,FFN down,Vision: FFN down + bias,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,33728.0,15088640.0,2566914048.0,1179648.0,80207424.0,7769745408.0,29089792.0,51.87,66.07,66.07,39.36,8.33,8.6,33.04
615,vlm,Norm / residual,Vision: residual / LayerNorm variant 6,triton_red_fused_add_native_layer_norm_view_6,vlm.vision.camera2,4608.000000000001,1316864.0,0.0,11333632.0,2418272.0,1073186816.0,3956736.0,33.28,0.0,17.21,8.64,22.75,27.63,0.0
616,vlm,QKV,Vision: Q projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,12064.0,3998080.0,679477248.0,589824.0,22083264.0,2759616512.0,10371072.0,38.55,49.24,49.24,30.5,8.33,9.26,24.62
617,vlm,QKV,Vision: K projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11904.000000000002,4002432.0,679477248.0,589824.0,22081856.0,2724425728.0,10272768.0,38.96,49.88,49.88,30.88,8.33,9.21,24.94
618,vlm,QKV,Vision: V projection + bias,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn,vlm.vision.camera2,11904.000000000002,4003200.0,679477248.0,589824.0,22082624.0,2716370944.0,10215424.0,39.19,50.03,50.03,30.98,8.33,9.33,25.01
619,vlm,Vision attention,Vision: FlashAttention split-KV attention,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,14368.0,2101376.0,402653184.0,4259840.0,12282624.0,3345321984.0,12345344.0,17.02,24.07,24.07,18.28,8.29,11.55,12.04
620,vlm,Vision attention,Vision: FlashAttention split-KV combine,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<96, 64, 128, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 64, 128, 4, cutlass::bfloat16_t>>, 16, 1, 0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera2,6848.0,2680064.0,0.0,2260992.0,3436448.0,1603614720.0,5865472.0,45.69,0.0,11.07,11.55,21.13,14.38,0.0
