id,process_id,device,context,stream,kernel,grid,block,operator,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status
22,2366711,0,1,7,_adarms_norm_kernel,"(50, 1, 1)","(128, 1, 1)",step00.layer02._adarms_norm_kernel.line1854/_adarms_norm_kernel,fp32_simt,15168.000000000002,l2,465088.0,,358400.0,0.7706068528966561,0.02362869198312236,ok
23,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer02._matmul_rope_qkv.line1863/_matmul_rope_qkv,bf16_tensor,35264.0,l2,13811296.0,,335544320.0,24.29491917340704,9.515208711433758,ok
23,2366711,0,1,7,_matmul_rope_qkv,"(128, 1, 1)","(128, 1, 1)",step00.layer02._matmul_rope_qkv.line1863/_matmul_rope_qkv,fp32_simt,35264.0,l2,13811296.0,,442368.0,0.03202943445712843,0.012544464609800363,ok
24,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer02._matmul_abt_scale.line1899/_matmul_abt_scale,bf16_tensor,14752.0,l2,2840704.0,,47710208.0,16.795205695489567,3.234151843817787,ok
24,2366711,0,1,7,_matmul_abt_scale,"(91, 1, 1)","(128, 1, 1)",step00.layer02._matmul_abt_scale.line1899/_matmul_abt_scale,fp32_simt,14752.0,l2,2840704.0,,93184.0,0.03280313612400306,0.006316702819956615,ok
25,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer02._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,bf16_tensor,17024.0,l2,560256.0,,0.0,,,zero_counted_flops
25,2366711,0,1,7,_softmax_prefix_suffix_mask_vector,"(100, 1, 1)","(128, 1, 1)",step00.layer02._softmax_prefix_suffix_mask_vector.line1911/_softmax_prefix_suffix_mask_vector,fp32_simt,17024.0,l2,560256.0,,2528000.0,4.512222983778844,0.14849624060150377,ok
26,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer02._matmul_small.line1921/_matmul_small,bf16_tensor,17088.0,l2,3413120.0,,54525952.0,15.9753984624039,3.1908913857677907,ok
26,2366711,0,1,7,_matmul_small,"(104, 1, 1)","(128, 1, 1)",step00.layer02._matmul_small.line1921/_matmul_small,fp32_simt,17088.0,l2,3413120.0,,0.0,,,zero_counted_flops
27,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer02._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,bf16_tensor,38304.00000000001,l2,14696160.0,,268435456.0,18.265686818869693,7.008026733500417,ok
27,2366711,0,1,7,_matmul_small_res_gate_oproj,"(128, 1, 1)","(128, 1, 1)",step00.layer02._matmul_small_res_gate_oproj.line1932/_matmul_small_res_gate_oproj,fp32_simt,38304.00000000001,l2,14696160.0,,131072.0,0.008918792392026217,0.0034218880534670005,ok
