group_id,operator,domain,memory_level,invocations,flops,duration_ns,memory_bytes,mean_duration_ns,ai_flops_per_byte,performance_tflops,status
1,"Prefix FFN: GELU product | triton_poi_fused_gelu_mul_split_0 | grid=(29376, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,17,0.0,5840576.0,1536246848.0,343563.29411764705,,,zero_counted_flops
21,"Vision: NCHW → NHWC (input) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(1568, 1, 1) block=(256, 1, 1)",fp32_simt,l2,3,451584.0,85312.0,4700000.0,28437.333333333332,0.09608170212765957,0.0052933233308327075,ok
22,"Vision: NCHW → NHWC (weights) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(7, 1, 1152) block=(256, 1, 1)",bf16_tensor,l2,3,0.0,313312.0,23138336.0,104437.33333333333,,,zero_counted_flops
22,"Vision: NCHW → NHWC (weights) | void cudnn::nchwToNhwcKernel<__nv_bfloat16, __nv_bfloat16, float, 0, 1, 0>(cudnn::nchw2nhwc_params_t<T3>, const T1 *, T2 *) | grid=(7, 1, 1152) block=(256, 1, 1)",fp32_simt,l2,3,2032128.0,313312.0,23138336.0,104437.33333333333,0.08782515734925796,0.006485956490654683,ok
23,"Vision: NHWC → NCHW | void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *) | grid=(8, 36, 1) block=(256, 1, 1)",bf16_tensor,l2,3,0.0,55200.0,3688064.0,18400.0,,,zero_counted_flops
23,"Vision: NHWC → NCHW | void cudnn::nhwcToNchwKernel<__nv_bfloat16, __nv_bfloat16, float, 1, 0, 0>(cudnn::nhwc2nchw_params_t<T3>, const T1 *, T2 *) | grid=(8, 36, 1) block=(256, 1, 1)",fp32_simt,l2,3,884736.0,55200.0,3688064.0,18400.0,0.23989171554506647,0.016027826086956524,ok
24,"Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,324,220150628352.0,9133120.0,2592349888.0,28188.64197530864,84.92319241745811,24.10464642444203,ok
24,"Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",fp32_simt,l2,324,286654464.0,9133120.0,2592349888.0,28188.64197530864,0.11057707346023192,0.031386258365158896,ok
25,"Vision: image embedding scale | triton_poi_fused_mul_view_11 | grid=(1024, 1, 1) block=(128, 1, 1)",bf16_tensor,l2,3,0.0,50912.000000000015,6423456.0,16970.66666666667,,,zero_counted_flops
25,"Vision: image embedding scale | triton_poi_fused_mul_view_11 | grid=(1024, 1, 1) block=(128, 1, 1)",fp32_simt,l2,3,1572864.0,50912.000000000015,6423456.0,16970.66666666667,0.24486257864925048,0.03089377749842865,ok
26,"Vision: image-to-text projection + bias | nvjet_sm110_tst_512x64_64x2_1x4_h_bz_bias_TNT | grid=(16, 1, 1) block=(256, 1, 1)",bf16_tensor,l2,3,3623878656.0,127936.0,24503840.0,42645.333333333336,147.89023499990205,28.325714857428714,ok
