id,process_id,device,context,stream,kernel,grid,block,operator,nvtx_export,nvtx,stage,group_id,domain,duration_ns,memory_level,memory_bytes,dram_bytes,flops,ai_flops_per_byte,performance_tflops,status,source_line
0,2728813,0,1,7,triton_poi_fused__to_copy_convolution_0,"(25, 1, 1)","(128, 1, 1)","Vision: input cast/layout | triton_poi_fused__to_copy_convolution_0 | grid=(25, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_poi_fused__to_copy_convolution_0,vlm.vision.camera0,vlm,27,bf16_tensor,7360.000000000001,l2,958496.0,,0.0,,,zero_counted_flops,
10,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,fp32_simt,27776.000000000004,l2,8002688.0,,884736.0,0.11055485356920075,0.03185253456221198,ok,
11,2728813,0,1,7,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params)","(2, 1, 16)","(128, 1, 1)","Vision: FlashAttention | void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params) | grid=(2, 1, 16) block=(128, 1, 1)","vlm.vision.camera0/void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)128, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)128, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera0,vlm,20,bf16_tensor,33600.0,l2,5493248.0,,402653184.0,73.29965514027403,11.983725714285713,ok,
11,2728813,0,1,7,"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params)","(2, 1, 16)","(128, 1, 1)","Vision: FlashAttention | void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<96, 128, 64, 4, 0, 0, cutlass::bfloat16_t, Flash_kernel_traits<96, 128, 64, 4, cutlass::bfloat16_t>>, 0, 0, 0, 0, 0, 0, 0, 0>(pytorch_flash::Flash_fwd_params) | grid=(2, 1, 16) block=(128, 1, 1)","vlm.vision.camera0/void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)96, (int)128, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)128, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0>(pytorch_flash::Flash_fwd_params)",vlm.vision.camera0,vlm,20,fp32_simt,33600.0,l2,5493248.0,,5079076.0,0.9246034404417933,0.15116297619047617,ok,
12,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,bf16_tensor,30400.0,l2,8004096.0,,679477248.0,84.89119170984456,22.351225263157893,ok,
12,2728813,0,1,7,nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,"(18, 1, 1)","(256, 1, 1)","Vision: attention Q/K/V/O projections | nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT | grid=(18, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_128x128_64x6_1x2_h_bz_bias_TNT,vlm.vision.camera0,vlm,24,fp32_simt,30400.0,l2,8004096.0,,884736.0,0.11053540587219343,0.029103157894736845,ok,
13,2728813,0,1,7,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4,"(64, 1, 1)","(256, 1, 1)","Vision: residual/LayerNorm fusion 4 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4 | grid=(64, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4,vlm.vision.camera0,vlm,33,bf16_tensor,26464.000000000004,l2,4880896.0,,0.0,,,zero_counted_flops,
13,2728813,0,1,7,triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4,"(64, 1, 1)","(256, 1, 1)","Vision: residual/LayerNorm fusion 4 | triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4 | grid=(64, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/triton_red_fused__to_copy_add_convolution_embedding_native_layer_norm_transpose_view_4,vlm.vision.camera0,vlm,33,fp32_simt,26464.000000000004,l2,4880896.0,,6291456.0,1.2889961187454106,0.2377363966142684,ok,
14,2728813,0,1,7,nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN,"(40, 1, 1)","(256, 1, 1)","Vision: FFN expansion + bias | nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN | grid=(40, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN,vlm.vision.camera0,vlm,19,bf16_tensor,61760.00000000001,l2,23282464.0,,2642411520.0,113.49363709957846,42.785160621761655,ok,
14,2728813,0,1,7,nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN,"(40, 1, 1)","(256, 1, 1)","Vision: FFN expansion + bias | nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN | grid=(40, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_224x128_64x7_1x2_2cta_h_bz_bias_TNN,vlm.vision.camera0,vlm,19,fp32_simt,61760.00000000001,l2,23282464.0,,3440640.0,0.14777817330674278,0.05570984455958549,ok,
15,2728813,0,1,7,triton_poi_fused_gelu_view_5,"(2152, 1, 1)","(128, 1, 1)","Vision: FFN GELU | triton_poi_fused_gelu_view_5 | grid=(2152, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_poi_fused_gelu_view_5,vlm.vision.camera0,vlm,17,bf16_tensor,23008.0,l2,4461216.0,,0.0,,,zero_counted_flops,
15,2728813,0,1,7,triton_poi_fused_gelu_view_5,"(2152, 1, 1)","(128, 1, 1)","Vision: FFN GELU | triton_poi_fused_gelu_view_5 | grid=(2152, 1, 1) block=(128, 1, 1)",vlm.vision.camera0/triton_poi_fused_gelu_view_5,vlm.vision.camera0,vlm,17,fp32_simt,23008.0,l2,4461216.0,,15382553.0,3.4480628151607093,0.6685741046592489,ok,
16,2728813,0,1,7,nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN,"(16, 1, 1)","(256, 1, 1)","Vision: FFN contraction + bias | nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN | grid=(16, 1, 1) block=(256, 1, 1)",vlm.vision.camera0/nvjet_sm110_tst_144x128_64x6_4x1_v_bz_bias_TNN,vlm.vision.camera0,vlm,18,bf16_tensor,89120.0,l2,24611552.0,,2566914048.0,104.29712226193618,28.80289551166966,ok,
