id,kernel,grid,block,stage,family,module,nvtx,duration_ns,dram_bytes,bf16_flops,fp32_flops,dram_util_pct,tensor_active_pct
753,"void cutlass::device_kernel<flash::enable_sm80_to_sm89<flash::FlashAttnFwdSm80<flash::CollectiveMainloopFwdSm80<8, 1, 1, cute::tuple<cute::C<128>, cute::C<64>, cute::C<256>>, 256, cutlass::bfloat16_t, float, arch::Sm80, 0, 0, 0, 0, 0, 0, 1, 0, cutlass::bfloat16_t>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<128>, cute::C<256>, cute::C<64>>, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1>>, cutlass::bfloat16_t, arch::Sm80, 256, 0, 1, 0, 0>, flash::SingleTileScheduler<0, 0, 1, 128>>>>(T1::Params)","(58, 1, 1)","(256, 1, 1)",vlm,Attention (fused),paligemma_with_expert.paligemma.model.language_model.layers.13.self_attn.attn,vlm|Attention (fused)|paligemma_with_expert.paligemma.model.language_model.layers.13.self_attn.attn,120800.00000000001,5360640.0,7298088960.0,51730000.0,5.14,51.11
754,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn,"(16, 15, 1)","(128, 1, 1)",vlm,O projection,paligemma_with_expert.paligemma.model.language_model.layers.13.self_attn.o_proj,vlm|O projection|paligemma_with_expert.paligemma.model.language_model.layers.13.self_attn.o_proj,87680.0,15207680.0,8053063680.0,5898240.0,20.1,78.72
755,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctor_add<c10::BFloat16>, std::array<char *, 3>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Other,prefix,vlm|Other|prefix,11904.000000000002,8419840.0,0.0,3760128.0,82.09,0.0
756,"void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,10272.000000000002,4417536.0,0.0,0.0,50.02,0.0
757,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1836, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,12000.0,8448128.0,0.0,1880064.0,81.78,0.0
758,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>>(T3)","(58, 1, 1)","(32, 16, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,14240.0,8684544.0,0.0,2117590.0,70.91,0.0
759,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,2048.0,9472.0,0.0,2048.0,0.54,0.0
760,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","(1, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,2080.0,11008.0,0.0,0.0,0.63,0.0
761,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl<at::BinaryFunctor<float, float, float, binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","(3672, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,13184.000000000002,4517248.0,0.0,1880064.0,39.79,0.0
762,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(int, T2, T3)","(2, 1, 1)","(128, 1, 1)",vlm,Norm / residual,paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,vlm|Norm-residual|paligemma_with_expert.paligemma.model.language_model.layers.13.post_attention_layernorm,1920.0000000000002,14464.0,0.0,4096.0,0.9,0.0
