utc,pid,rss_bytes,process_hwm_bytes,host_available_bytes,gpu_gpc_cur_hz,gpu_gpc_min_hz,gpu_gpc_max_hz
2026-09-13T11:53:32.845262+00:00,2728813,5944213504,19650097152,76817252352,1575000000,1575000000,1575000000
2026-09-13T11:53:42.845935+00:00,2728813,5944213504,19650097152,74711052288,1575000000,1575000000,1575000000
2026-09-13T11:53:52.846776+00:00,2728813,5944213504,19650097152,74748112896,1575000000,1575000000,1575000000
2026-09-13T11:54:02.847501+00:00,2728813,5937532928,19650097152,73382940672,1575000000,1575000000,1575000000
2026-09-13T11:54:12.848825+00:00,2728813,5937008640,19650097152,89443921920,1575000000,1575000000,1575000000
2026-09-13T11:54:22.908709+00:00,2728813,5936959488,19650097152,73292320768,1575000000,1575000000,1575000000
2026-09-13T11:54:32.909494+00:00,2728813,5936775168,19650097152,89456513024,1575000000,1575000000,1575000000
2026-09-13T11:54:42.910321+00:00,2728813,5936726016,19650097152,73332039680,1575000000,1575000000,1575000000
2026-09-13T11:54:52.937043+00:00,2728813,5936340992,19650097152,73299697664,1575000000,1575000000,1575000000
2026-09-13T11:55:02.937968+00:00,2728813,5936041984,19650097152,73300684800,1575000000,1575000000,1575000000
2026-09-13T11:55:12.938697+00:00,2728813,5931307008,19650097152,72082915328,1575000000,1575000000,1575000000
2026-09-13T11:55:23.004307+00:00,2728813,5924708352,19650097152,71043112960,1575000000,1575000000,1575000000
2026-09-13T11:55:33.005087+00:00,2728813,5923872768,19650097152,71001595904,1575000000,1575000000,1575000000
2026-09-13T11:55:43.047935+00:00,2728813,5916459008,19650097152,88619294720,1575000000,1575000000,1575000000
2026-09-13T11:55:53.133266+00:00,2728813,5916459008,19650097152,84635099136,1575000000,1575000000,1575000000
2026-09-13T11:56:03.133977+00:00,2728813,5916459008,19650097152,76586377216,1575000000,1575000000,1575000000
2026-09-13T11:56:13.134691+00:00,2728813,5916459008,19650097152,92790693888,1575000000,1575000000,1575000000
2026-09-13T11:56:23.135456+00:00,2728813,5916459008,19650097152,92861153280,1575000000,1575000000,1575000000
2026-09-13T11:56:33.136127+00:00,2728813,5916459008,19650097152,75209814016,1575000000,1575000000,1575000000
2026-09-13T11:56:43.137052+00:00,2728813,5916459008,19650097152,90863702016,1575000000,1575000000,1575000000
2026-09-13T11:56:53.247574+00:00,2728813,5916459008,19650097152,73208201216,1575000000,1575000000,1575000000
2026-09-13T11:57:03.248364+00:00,2728813,5916459008,19650097152,73251766272,1575000000,1575000000,1575000000
2026-09-13T11:57:13.334492+00:00,2728813,5916459008,19650097152,73257877504,1575000000,1575000000,1575000000
2026-09-13T11:57:23.487036+00:00,2728813,5916459008,19650097152,73259241472,1575000000,1575000000,1575000000
2026-09-13T11:57:33.487766+00:00,2728813,5916459008,19650097152,73247571968,1575000000,1575000000,1575000000
2026-09-13T11:57:43.488471+00:00,2728813,5925875712,19650097152,89396043776,1575000000,1575000000,1575000000
2026-09-13T11:57:53.489538+00:00,2728813,5937729536,19650097152,73223774208,1575000000,1575000000,1575000000
2026-09-13T11:58:03.490240+00:00,2728813,5937127424,19650097152,71642165248,1575000000,1575000000,1575000000
2026-09-13T11:58:13.491090+00:00,2728813,5934522368,19650097152,86900744192,1575000000,1575000000,1575000000
2026-09-13T11:58:23.491765+00:00,2728813,5934047232,19650097152,69104279552,1575000000,1575000000,1575000000
2026-09-13T11:58:33.492691+00:00,2728813,5934047232,19650097152,68530700288,1575000000,1575000000,1575000000
2026-09-13T11:58:43.493340+00:00,2728813,5934047232,19650097152,88423665664,1575000000,1575000000,1575000000
2026-09-13T11:58:53.610365+00:00,2728813,5934047232,19650097152,83882373120,1575000000,1575000000,1575000000
2026-09-13T11:59:03.611698+00:00,2728813,5934211072,19650097152,75720208384,1575000000,1575000000,1575000000
2026-09-13T11:59:13.612602+00:00,2728813,5934047232,19650097152,75774484480,1575000000,1575000000,1575000000
2026-09-13T11:59:23.613305+00:00,2728813,5934047232,19650097152,75794612224,1575000000,1575000000,1575000000
2026-09-13T11:59:33.733581+00:00,2728813,5934047232,19650097152,74220597248,1575000000,1575000000,1575000000
2026-09-13T11:59:43.734335+00:00,2728813,5934047232,19650097152,73733132288,1575000000,1575000000,1575000000
2026-09-13T11:59:53.737413+00:00,2728813,5934047232,19650097152,72169857024,1575000000,1575000000,1575000000
